,mean,std
pupil_baseline_mean,3.7089767981527,0.6819501261134981
pupil_relax_mean,3.5274590990263373,0.7349699234278363
pupil_relative_delta,-0.051485015463636784,0.07919770948522575
pupil_rebound,0.036186688400284134,0.07561941747547825
pupil_relax_slope,-8.472836863292026e-05,0.0004315637386211953
pupil_relax_detrended_std,0.07405927168092982,0.057622941196686754
pupil_relax_p90_p10,0.27198786141099573,0.22703625084017348
pupil_early_late_diff,-0.0654650792886116,0.1291743925884414
pupil_nonlinearity,-0.02561473660667488,0.04858849812276025
bpm_delta,-1.2220497668751709,0.5495422152784283
bpm_rebound,1.2024175457688588,0.5577428536731039
bpm_relax_slope,-3.5199369406553306e-07,0.00037301678582746603
bpm_relax_std,2.911054930283005,0.14383674651165618
bpm_relax_p90_p10,7.5186226376353105,0.5278754024491368
bpm_early_mean,65.00470815908723,4.717672838849625
bpm_early_late_diff,-0.0021129582723035524,0.4463034750112365
gaze_xy_var_relax,0.16767321387191003,0.1785521733790474
gaze_xy_var_delta,0.00736287476524439,0.03559616886810958
gaze_z_var_relax,0.2858444076181482,0.25649321215823917
gaze_xy_p90_p10,0.2954731329529966,0.4151878085279603
gaze_drift,0.3004129343226119,0.5699443449527803
gaze_velocity_mean,0.08415020146195062,0.08769546354954098
pupil_bpm_corr,-0.004296300753259408,0.0533017940804593
pupil_bpm_corr_early,-0.002492551026899235,0.0766200122547919
pupil_bpm_corr_late,0.00047470664252766153,0.06446563106152431
pupil_bpm_corr_diff,0.003046365115849519,0.10141855614647918
pupil_baseline_mean_iqr,0.2696852654487256,0.2852232598571025
pupil_break_mean_iqr,0.32674117438062555,0.27273553812912005
pupil_relative_delta_iqr,0.05581810083581942,0.05503566848398527
pupil_rebound_iqr,0.08310463836436183,0.10249766499881645
pupil_relax_slope_iqr,0.0003138683193995319,0.0006727185971417435
pupil_relax_std_iqr,0.08052450895139393,0.08713564429350985
pupil_relax_detrended_std_iqr,0.04705995992501653,0.05316875463670766
pupil_late_mean_iqr,0.39970875146421525,0.3119994878125721
pupil_nonlinearity_iqr,0.06188652346482134,0.08818490685198722
bpm_baseline_mean_iqr,1.5688993988269246,0.5994323018009148
bpm_relax_mean_iqr,0.6277698896769173,0.23421993061413998
bpm_break_mean_iqr,1.5875968390778186,0.6214827733572097
bpm_delta_iqr,1.6849311610660325,0.6402641897622231
bpm_rebound_iqr,1.7291396138640827,0.6828639317954877
bpm_relax_slope_iqr,0.00108195450730734,0.0003995058581738267
bpm_relax_std_iqr,0.45777399703351107,0.168897216065835
bpm_relax_p90_p10_iqr,1.4234098444333727,0.5665303793518456
bpm_early_mean_iqr,0.898172391505664,0.3454332888073709
bpm_early_late_diff_iqr,1.2703199028743872,0.4487062344097042
gaze_xy_var_baseline_iqr,0.0739411082266284,0.05965832648097332
gaze_xy_var_relax_iqr,0.05111325121361249,0.06169878844375322
gaze_xy_var_delta_iqr,0.06672562662062402,0.04206199095817034
gaze_z_var_relax_iqr,0.06342066771112219,0.07093092001347379
gaze_xy_p90_p10_iqr,0.08638304132039346,0.1331473586766134
gaze_z_p90_p10_iqr,0.056468619961337785,0.19567215690690593
gaze_drift_iqr,0.5395867169402546,0.8530629375936887
gaze_velocity_mean_iqr,0.016147519530777983,0.014549945983383331
pupil_bpm_corr_iqr,0.15566542022029395,0.0894090746522075
pupil_bpm_corr_early_iqr,0.20683703918223467,0.11892557007233426
pupil_bpm_corr_late_iqr,0.15068409216058412,0.10904359914792199
pupil_bpm_corr_diff_iqr,0.26720444972691926,0.1424086141534555
